Year,District,Area_,Area,Production_,Production,Yield_(tonnes/ha),NDVI,EVI,FAPAR,GPP,LAI,Rainfall,Temperature,SMI
2012,Junagadh,"3,06,600.00",3.07,"1,55,800.00",15.58,0.51,0.335447602,0.221917638,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2012,Rajkot,"3,16,900.00",3.17,"25,600.00",2.56,0.08,0.274844224,0.172445903,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2012,Amreli,"84,400.00",0.84,"7,200.00",0.72,0.09,0.304402118,0.191567619,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2012,Bhavnagar,"80,800.00",0.81,"54,200.00",5.42,0.67,0.300243106,0.197382385,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2013,Jamnagar,"3,56,038.00",3.56,"10,81,857.00",108.19,3.04,0.408369769,0.2838026,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2013,Junagadh,"3,81,800.00",3.82,"13,70,777.00",137.08,3.59,0.468189118,0.333707625,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2013,Rajkot,"4,30,323.00",4.3,"13,79,659.00",137.97,3.21,0.423214551,0.2905927,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2013,Amreli,"1,39,074.00",1.39,"4,41,129.00",44.11,3.17,0.440926964,0.304189655,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2013,Bhavnagar,"1,11,326.00",1.11,"2,71,491.00",27.15,2.44,0.418399158,0.287231833,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2014,Jamnagar,"1,39,525.00",1.4,"3,08,615.00",30.86,2.21,0.341332197,0.226502928,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2014,Junagadh,"2,24,694.00",2.25,"7,01,809.00",70.18,3.12,0.439849086,0.315324815,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2014,Rajkot,"2,70,785.00",2.71,"2,61,578.00",26.16,0.97,0.379665517,0.250875041,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2014,Amreli,"69,376.00",0.69,"86,658.00",8.67,1.25,0.39254916,0.257007991,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2014,Bhavnagar,"63,714.00",0.64,"1,18,432.00",11.84,1.86,0.376436289,0.257726687,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2015,Jamnagar,"1,29,603.00",1.3,"2,04,863.00",20.49,1.58,0.3366673,0.217587708,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2015,Junagadh,"2,25,024.00",2.25,"1,69,488.00",16.95,0.75,0.44063237,0.296839432,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2015,Rajkot,"2,72,862.00",2.73,"4,64,848.00",46.48,1.7,0.381658375,0.24859755,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2015,Amreli,"1,01,109.00",1.01,"2,19,548.00",21.95,2.17,0.417914278,0.270670393,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2015,Bhavnagar,"69,424.00",0.69,"1,32,662.00",13.27,1.91,0.399436447,0.265569529,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2016,Jamnagar,"1,32,417.00",1.32,"1,56,226.00",15.62,1.18,0.309269943,0.204491559,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2016,Junagadh,"2,53,815.00",2.54,"3,58,209.00",35.82,1.41,0.379791595,0.2677743,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2016,Rajkot,"2,73,136.00",2.73,"67,984.00",6.8,0.25,0.339169844,0.220650227,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2016,Amreli,"1,40,178.00",1.4,"2,69,282.00",26.93,1.92,0.365514755,0.245759716,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2016,Bhavnagar,"1,06,680.00",1.07,"3,56,621.00",35.66,3.34,0.352164765,0.236129026,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2017,Jamnagar,"1,32,795.00",1.33,"4,92,695.00",49.27,3.71,0.390559148,0.270361401,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2017,Junagadh,"2,58,272.00",2.58,"3,52,224.00",35.22,1.36,0.497560518,0.344194935,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2017,Rajkot,"2,62,756.00",2.63,"7,44,672.00",74.47,2.83,0.421757499,0.280909432,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2017,Amreli,"1,26,076.00",1.26,"1,96,249.00",19.62,1.56,0.438341496,0.287386038,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2017,Bhavnagar,"92,861.00",0.93,"2,21,864.00",22.19,2.39,0.428811102,0.294312667,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2018,Jamnagar,"1,30,381.00",1.3,"1,53,818.00",15.38,1.18,0.315591244,0.202165981,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2018,Junagadh,"2,30,830.00",2.31,"2,87,593.00",28.76,1.25,0.383635664,0.258546022,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2018,Rajkot,"2,38,387.00",2.38,"2,51,555.00",25.16,1.06,0.330302455,0.208700939,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2018,Amreli,"1,07,221.00",1.07,"75,940.00",7.59,0.71,0.328724914,0.200942822,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2018,Bhavnagar,"95,673.00",0.96,"1,70,142.00",17.01,1.78,0.318730653,0.19785235,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2019,Jamnagar,"1,47,978.00",1.48,"4,73,160.00",47.32,3.2,0.345527756,0.225612805,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2019,Junagadh,"2,34,594.00",2.35,"4,13,204.00",41.32,1.76,0.470394138,0.329627382,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2019,Rajkot,"2,33,639.00",2.34,"8,93,847.00",89.38,3.83,0.388348265,0.250500256,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2019,Amreli,"1,12,834.00",1.13,"3,49,158.00",34.92,3.09,0.439715037,0.291450139,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2019,Bhavnagar,"95,558.00",0.96,"2,70,905.00",27.09,2.83,0.412696211,0.274115254,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2020,Jamnagar,"2,24,033.00",2.24,"5,23,681.00",52.37,2.34,0.459050059,0.298707269,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2020,Junagadh,"2,63,065.00",2.63,"4,54,214.00",45.42,1.73,0.509823212,0.338377156,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2020,Rajkot,"2,76,456.00",2.76,"4,90,231.00",49.02,1.77,0.462025418,0.30020181,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2020,Amreli,"1,83,257.00",1.83,"3,06,082.00",30.61,1.67,0.514367101,0.333123814,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2020,Bhavnagar,"1,17,204.00",1.17,"2,20,202.00",22.02,1.88,0.503062756,0.331810187,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2021,Jamnagar,"1,84,089.00",1.84,"3,70,641.00",37.06,2.01,0.378293186,0.247496959,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2021,Junagadh,"2,24,985.00",2.25,"4,81,390.00",48.14,2.14,0.454743444,0.305111061,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2021,Rajkot,"2,71,007.00",2.71,"5,55,011.00",55.5,2.05,0.413451194,0.266836395,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2021,Amreli,"1,99,795.00",2,"4,61,000.00",46.1,2.31,0.466347457,0.306015896,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2021,Bhavnagar,"1,16,991.00",1.17,"2,34,130.00",23.41,2,0.450357172,0.289589967,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
